1,R_1_1_R,3515000
2,R_1_1_V,3925000
1,R_1_2_R,9825000
2,R_1_2_V,3955000
1,R_1_3_R,4850000
2,R_1_3_V,5235000
1,R_10_1_R,898750
2,R_10_1_V,537500
1,R_10_2_R,931250
2,R_10_2_V,2553750
1,R_10_3_R,3288750
2,R_10_3_V,1160000
1,R_2_1_R,270937
2,R_2_1_V,248125
1,R_2_2_R,182656
2,R_2_2_V,487968
1,R_2_3_R,791718
2,R_2_3_V,184687
1,R_3_1_R,51640
2,R_3_1_V,114531
1,R_3_2_R,36874
2,R_3_2_V,91757
1,R_3_3_R,276677
2,R_3_3_V,39921
1,R_4_1_R,12860
2,R_4_1_V,9775
1,R_4_2_R,19042
2,R_4_2_V,11796
1,R_4_3_R,25555
2,R_4_3_V,85162
1,R_5_1_R,2158
2,R_5_1_V,6518
1,R_5_2_R,8187
2,R_5_2_V,3671
1,R_6_1_R,808
2,R_6_1_V,652
1,R_6_2_R,582
2,R_6_2_V,1147
1,R_6_3_R,4276
2,R_6_3_V,919
1,R_7_1_R,376
2,R_7_1_V,72
1,R_7_2_R,301
2,R_7_2_V,374
1,R_7_3_R,291
2,R_7_3_V,1308
1,R_8_1_R,101
2,R_8_1_V,62
1,R_8_2_R,106
2,R_8_2_V,74
1,R_8_3_R,62
2,R_8_3_V,107
1,R_9_1_R,11
2,R_9_1_V,18
1,R_9_2_R,15
2,R_9_2_V,20
1,R_9_3_R,47
2,R_9_3_V,10