ID	Atto_A
C_01_A	0.001271566
C_01_B	0.002543131
C_01_C	0.005086263
C_01_D	0.010172526
C_02_A	0.002543132
C_02_B	0.005086263
C_02_C	0.010172526
C_02_D	0.020345052
C_03_A	0.005086263
C_03_B	0.010172526
C_03_C	0.020345052
C_03_D	0.040690104
C_04_A	0.010172526
C_04_B	0.020345052
C_04_C	0.040690104
C_04_D	0.081380209
C_05_A	0.020345052
C_05_B	0.040690104
C_05_C	0.081380208
C_05_D	0.162760417
C_06_A	0.040690104
C_06_B	0.081380208
C_06_C	0.162760417
C_06_D	0.325520834
C_07_A	0.081380208
C_07_B	0.162760417
C_07_C	0.325520833
C_07_D	0.651041667
C_08_A	0.162760417
C_08_B	0.325520833
C_08_C	0.651041667
C_08_D	1.302083333
C_09_A	0.325520833
C_09_B	0.651041667
C_09_C	1.302083333
C_09_D	2.604166667
C_10_A	0.651041667
C_10_B	1.302083333
C_10_C	2.604166667
C_10_D	5.208333333
C_11_A	1.302083333
C_11_B	2.604166667
C_11_C	5.208333333
C_11_D	10.41666667
C_12_A	2.604166667
C_12_B	5.208333333
C_12_C	10.41666667
C_12_D	20.83333333
C_13_A	5.208333333
C_13_B	10.41666667
C_13_C	20.83333333
C_13_D	41.66666667
C_14_A	10.41666667
C_14_B	20.83333333
C_14_C	41.66666667
C_14_D	83.33333333
C_15_A	20.83333333
C_15_B	41.66666667
C_15_C	83.33333333
C_15_D	166.6666667
C_16_A	41.66666667
C_16_B	83.33333333
C_16_C	166.6666667
C_16_D	333.3333333
C_17_A	83.33333333
C_17_B	166.6666667
C_17_C	333.3333333
C_17_D	666.6666667
C_18_A	166.6666667
C_18_B	333.3333333
C_18_C	666.6666667
C_18_D	1333.333333
C_19_A	333.3333333
C_19_B	666.6666667
C_19_C	1333.333333
C_19_D	2666.666667
C_20_A	666.6666667
C_20_B	1333.333333
C_20_C	2666.666667
C_20_D	5333.333333
C_21_A	1333.333333
C_21_B	2666.666667
C_21_C	5333.333333
C_21_D	10666.66667