ID	Length	MixF_atto
D_1_1_R	1107	500.2451201
D_1_2_R	1122	500.2451201
D_1_3_R	986	500.2451201
D_1_4_R	1121	500.2451201
D_1_5_R	950	500.2451201
D_1_6_R	1024	500.2451201
D_1_7_R	1057	500.2451201
D_1_8_R	1124	500.2451201
D_1_9_R	1099	500.2451201
D_1_10_R	937	500.2451201
D_1_11_R	1115	500.2451201
D_1_12_R	979	500.2451201
D_2_1_R	935	500.2451201
D_2_2_R	973	500.2451201
D_2_3_R	943	500.2451201
D_2_4_R	980	500.2451201
D_2_5_R	1127	500.2451201
D_2_6_R	981	500.2451201
D_2_7_R	959	500.2451201
D_2_8_R	1056	500.2451201
D_2_9_R	993	500.2451201
D_2_10_R	1004	500.2451201
D_2_11_R	1039	500.2451201
D_2_12_R	994	500.2451201
D_3_1_R	944	500.2451201
D_3_2_R	793	500.2451201
D_3_3_R	1029	500.2451201
D_3_4_R	1109	500.2451201
D_3_5_R	1140	500.2451201
D_3_6_R	1079	500.2451201
D_3_7_R	893	500.2451201
D_3_8_R	1075	500.2451201
D_3_9_R	1007	500.2451201
D_3_10_R	943	500.2451201
D_3_11_R	953	500.2451201
D_3_12_R	1002	500.2451201
D_1_1_V	1133	500.2451201
D_1_2_V	1134	500.2451201
D_1_3_V	983	500.2451201
D_1_4_V	1109	500.2451201
D_1_5_V	946	500.2451201
D_1_6_V	1000	500.2451201
D_1_7_V	1062	500.2451201
D_1_8_V	1131	500.2451201
D_1_9_V	1077	500.2451201
D_1_10_V	910	500.2451201
D_1_11_V	1121	500.2451201
D_1_12_V	997	500.2451201
D_2_1_V	958	500.2451201
D_2_2_V	992	500.2451201
D_2_3_V	945	500.2451201
D_2_4_V	980	500.2451201
D_2_5_V	1125	500.2451201
D_2_6_V	972	500.2451201
D_2_7_V	963	500.2451201
D_2_8_V	1061	500.2451201
D_2_9_V	1009	500.2451201
D_2_10_V	1029	500.2451201
D_2_11_V	1027	500.2451201
D_2_12_V	973	500.2451201
D_3_1_V	955	500.2451201
D_3_2_V	783	500.2451201
D_3_3_V	1045	500.2451201
D_3_4_V	1112	500.2451201
D_3_5_V	1145	500.2451201
D_3_6_V	1104	500.2451201
D_3_7_V	905	500.2451201
D_3_8_V	1097	500.2451201
D_3_9_V	1027	500.2451201
D_3_10_V	959	500.2451201
D_3_11_V	969	500.2451201
D_3_12_V	980	500.2451201