ID	Length	MixA_atto
D_1_1_R	1107	5002.451201
D_1_2_R	1122	6669.968284
D_1_3_R	986	8003.921922
D_1_4_R	1121	8893.257696
D_1_5_R	950	9416.414043
D_1_6_R	1024	9701.753859
D_1_7_R	1057	9851.027003
D_1_8_R	1124	9927.364409
D_1_9_R	1099	9965.983332
D_1_10_R	937	9985.392842
D_1_11_R	1115	9995.097598
D_1_12_R	979	10000
D_2_1_R	935	5002.451201
D_2_2_R	973	6669.968284
D_2_3_R	943	8003.921922
D_2_4_R	980	8893.257696
D_2_5_R	1127	9416.414043
D_2_6_R	981	9701.753859
D_2_7_R	959	9851.027003
D_2_8_R	1056	9927.364409
D_2_9_R	993	9965.983332
D_2_10_R	1004	9985.392842
D_2_11_R	1039	9995.097598
D_2_12_R	994	10000
D_3_1_R	944	5002.451201
D_3_2_R	793	6669.968284
D_3_3_R	1029	8003.921922
D_3_4_R	1109	8893.257696
D_3_5_R	1140	9416.414043
D_3_6_R	1079	9701.753859
D_3_7_R	893	9851.027003
D_3_8_R	1075	9927.364409
D_3_9_R	1007	9965.983332
D_3_10_R	943	9985.392842
D_3_11_R	953	9995.097598
D_3_12_R	1002	10000
D_1_1_V	1133	5002.451201
D_1_2_V	1134	3334.934118
D_1_3_V	983	2000.98048
D_1_4_V	1109	1111.644706
D_1_5_V	946	588.4883593
D_1_6_V	1000	303.1485428
D_1_7_V	1062	153.8753989
D_1_8_V	1131	77.53799362
D_1_9_V	1077	38.91907034
D_1_10_V	910	19.50955968
D_1_11_V	1121	9.804804354
D_1_12_V	997	4.902402177
D_2_1_V	958	5002.451201
D_2_2_V	992	3334.934118
D_2_3_V	945	2000.98048
D_2_4_V	980	1111.644706
D_2_5_V	1125	588.4883593
D_2_6_V	972	303.1485428
D_2_7_V	963	153.8753989
D_2_8_V	1061	77.53799362
D_2_9_V	1009	38.91907034
D_2_10_V	1029	19.50955968
D_2_11_V	1027	9.804804354
D_2_12_V	973	4.902402177
D_3_1_V	955	5002.451201
D_3_2_V	783	3334.934118
D_3_3_V	1045	2000.98048
D_3_4_V	1112	1111.644706
D_3_5_V	1145	588.4883593
D_3_6_V	1104	303.1485428
D_3_7_V	905	153.8753989
D_3_8_V	1097	77.53799362
D_3_9_V	1027	38.91907034
D_3_10_V	959	19.50955968
D_3_11_V	969	9.804804354
D_3_12_V	980	4.902402177